address,href,parcel,price,rooms,sqm,zip,lon,lat
Kanaalstraat 81 I 1054 XB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40856026-kanaalstraat-81-i/?navigateSource=resultlist,51,400,3,51,1054,4.863642899999999,52.3621354
Sara Burgerhartstraat 10 H 1055 KX Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40732795-sara-burgerhartstraat-10-h/?navigateSource=resultlist,78,345,3,78,1055,4.850234899999999,52.38235
Steve Bikoplein 5 -II 1092 GM Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40713177-steve-bikoplein-5-ii/?navigateSource=resultlist,72,450,3,72,1092,4.9238595,52.3557467
Wagenaarstraat 153 1093 CN Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40715980-wagenaarstraat-153/?navigateSource=resultlist,50,275,2,50,1093,4.9260262,52.3631678
Fokkezeil 101 1034 MX Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40751379-fokkezeil-101/?navigateSource=resultlist,75,225,3,75,1034,4.9238408,52.410758
Retiefstraat 21 1 1092 VV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40758259-retiefstraat-21-1/?navigateSource=resultlist,77,450,4,77,1092,4.92471,52.356153
Van Helt Stocadestraat 18 -1 1073 JC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40624572-van-helt-stocadestraat-18-1/?navigateSource=resultlist,68,375,4,68,1073,4.8965147,52.3494807
Jacques Veltmanstraat 81 1065 EG Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40621268-jacques-veltmanstraat-81/?navigateSource=resultlist,152,580,4,152,1065,4.8328483,52.3557667
Brittenburg 5 1082 BS Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40674056-brittenburg-5/?navigateSource=resultlist,67,325,3,67,1082,4.8713294,52.3260563
Spadinalaan 5 1031 KB Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40678770-spadinalaan-5/?navigateSource=resultlist,148,825,4,148,1031,4.9030611,52.3870908
Memlingstraat 7 - hs 1077 LP Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40661960-memlingstraat-7-hs/?navigateSource=resultlist,242,1500,6,242,1077,4.874830999999999,52.350111
Brouwersgracht 106 +102 1013 GZ Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40511392-brouwersgracht-106-102/?navigateSource=resultlist,111,1050,2,111,1013,4.889808599999999,52.3800889
Westerdok 578 1013 BH Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40855506-westerdok-578/?navigateSource=resultlist,67,450,2,67,1013,4.891895,52.38527449999999
Tussen Meer 160 1069 DV Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40744888-tussen-meer-160/?navigateSource=resultlist,72,245,3,72,1069,4.7926068,52.3569644
Pieter Calandlaan 1013 1069 SC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40744436-pieter-calandlaan-1013/?navigateSource=resultlist,84,275,3,84,1069,4.7982345,52.3514112
Keizersgracht 259 E 1016 EC Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40734477-keizersgracht-259-e/?navigateSource=resultlist,181,1385,7,181,1016,4.8852049,52.371603
Van Leijenberghlaan 16 A 1082 GM Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-40733804-van-leijenberghlaan-16-a/?navigateSource=resultlist,108,510,3,108,1082,4.8787976,52.3323172
